   152/299     3.11G   0.01746  0.004609         0   0.02207         2       640    0.9675    0.9344    0.9828     0.654   0.02253  0.004134         0
   153/299     3.11G   0.01724  0.004623         0   0.02186         9       640    0.9584    0.9406    0.9749     0.641    0.0227  0.003985         0
   154/299     3.11G   0.01734  0.004399         0   0.02173         3       640    0.9801    0.9218      0.97    0.6422   0.02314  0.004209         0
   155/299     3.11G   0.01723  0.004488         0   0.02172         2       640    0.9621    0.9529    0.9784    0.6455    0.0224  0.004144         0
   156/299     3.11G   0.01679   0.00463         0   0.02142         5       640    0.9682    0.9531     0.978    0.6387   0.02273  0.004249         0
   157/299     3.11G    0.0172  0.004623         0   0.02182         6       640    0.9769     0.925    0.9728    0.6472   0.02266  0.004278         0
   158/299     3.11G   0.01678   0.00472         0   0.02151         6       640    0.9708    0.9375      0.97    0.6445   0.02279  0.004243         0
   159/299     3.11G   0.01706   0.00446         0   0.02152         6       640    0.9613    0.9344    0.9723    0.6443   0.02243   0.00413         0
   160/299     3.11G   0.01732  0.004144         0   0.02146         1       640    0.9828    0.9125    0.9769    0.6484   0.02297  0.004126         0
   161/299     3.11G   0.01669  0.004326         0   0.02101         3       640    0.9805    0.9469    0.9804    0.6464   0.02302  0.004038         0
   162/299     3.11G   0.01646  0.004568         0   0.02103         5       640    0.9902    0.9468    0.9793    0.6577   0.02274  0.004046         0
   163/299     3.11G   0.01704  0.004224         0   0.02126         9       640    0.9772    0.9375     0.975     0.641   0.02298  0.004278         0
   164/299     3.11G   0.01598  0.004318         0    0.0203         3       640    0.9801    0.9344    0.9747    0.6411   0.02294  0.004107         0
   165/299     3.11G   0.01719  0.004479         0   0.02167         9       640    0.9867    0.9281    0.9696    0.6279   0.02364  0.004311         0
   166/299     3.11G   0.01675  0.004347         0    0.0211         3       640    0.9836    0.9469    0.9716    0.6422   0.02332  0.004072         0
   167/299     3.11G   0.01661  0.004202         0   0.02082         3       640    0.9839    0.9594     0.976    0.6421   0.02331  0.004191         0
